disease_id,disease_name
C0019196,Hepatitis C
C0002395,Alzheimer's Disease
C0004364,Autoimmune Diseases
C0004623,Bacterial Infections
C0006826,Malignant Neoplasms
C0007134,Renal Cell Carcinoma
C0011570,Mental Depression
C0011581,Depressive disorder
C0024623,Malignant neoplasm of stomach
C0025202,melanoma
C0027651,Neoplasms
C0033578,Prostatic Neoplasms
C0038356,Stomach Neoplasms
C0041696,Unipolar Depression
C0235874,Disease Exacerbation
C0278883,Metastatic melanoma
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma
C0344315,Depressed mood
C0376358,Malignant neoplasm of prostate
C0600139,Prostate carcinoma
C1266042,Chromophobe Renal Cell Carcinoma
C1266043,Sarcomatoid Renal Cell Carcinoma
C1266044,Collecting Duct Carcinoma of the Kidney
C1269683,Major Depressive Disorder
C1306459,Primary malignant neoplasm
C1306837,Papillary Renal Cell Carcinoma
C1445957,Serum total cholesterol measurement
C1708349,Hereditary Diffuse Gastric Cancer
C3714514,Infection
C0000833,Abscess
C0001418,Adenocarcinoma
C0001815,Primary Myelofibrosis
C0002736,Amyotrophic Lateral Sclerosis
C0002895,"Anemia, Sickle Cell"
C0003467,Anxiety
C0003469,Anxiety Disorders
C0003504,Aortic Valve Insufficiency
C0004096,Asthma
C0004509,Azoospermia
C0004936,Mental disorders
C0005684,Malignant neoplasm of urinary bladder
C0005695,Bladder Neoplasm
C0006142,Malignant neoplasm of breast
C0007097,Carcinoma
C0007137,Squamous cell carcinoma
C0010346,Crohn Disease
C0010823,Cytomegalovirus Infections
C0011847,Diabetes
C0011849,Diabetes Mellitus
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
C0013364,"Dysautonomia, Familial"
C0014175,Endometriosis
C0014457,Eosinophilia
C0016529,Forced expiratory volume function
C0017152,Gastritis
C0017636,Glioblastoma
C0017638,Glioma
C0018213,Graves Disease
C0019340,Herpes NOS
C0019693,HIV Infections
C0019829,Hodgkin Disease
C0021364,Male infertility
C0021368,Inflammation
C0023467,"Leukemia, Myelocytic, Acute"
C0023493,Adult T-Cell Lymphoma/Leukemia
C0024117,Chronic Obstructive Airway Disease
C0024530,Malaria
C0025517,Metabolic Diseases
C0026948,Mycosis Fungoides
C0027627,Neoplasm Metastasis
C0027796,Neuralgia
C0027819,Neuroblastoma
C0028754,Obesity
C0028840,Ocular Hypertension
C0029001,Onchocerciasis
C0029401,Osteitis Deformans
C0029454,Osteopetrosis
C0030193,Pain
C0030567,Parkinson Disease
C0032285,Pneumonia
C0032460,Polycystic Ovary Syndrome
C0036341,Schizophrenia
C0036631,Seminoma
C0038354,Stomach Diseases
C0038436,Post-Traumatic Stress Disorder
C0039585,Androgen-Insensitivity Syndrome
C0042834,Vital capacity
C0042870,Vitamin D Deficiency
C0079744,Diffuse Large B-Cell Lymphoma
C0079772,T-Cell Lymphoma
C0079773,"Lymphoma, T-Cell, Cutaneous"
C0079774,Peripheral T-Cell Lymphoma
C0086132,Depressive Symptoms
C0150055,Chronic pain
C0151514,Atrophic condition of skin
C0178874,Tumor Progression
C0205682,Waist-Hip Ratio
C0206180,Ki-1+ Anaplastic Large Cell Lymphoma
C0206650,Fibroadenoma
C0220597,Adult Hodgkin Lymphoma
C0220633,Uveal melanoma
C0220644,Childhood Hodgkin Lymphoma
C0220668,Congenital contractural arachnodactyly
C0233514,Abnormal behavior
C0234251,Inflammatory pain
C0235889,Arthritis aggravated
C0235974,Pancreatic carcinoma
C0238421,Selenium deficiency
C0238463,Papillary thyroid carcinoma
C0263912,Rotator cuff syndrome
C0278878,Adult Glioblastoma
C0279628,Adenocarcinoma Of Esophagus
C0280100,Solid Neoplasm
C0280474,Childhood Glioblastoma
C0338106,Adenocarcinoma of colon
C0341106,Eosinophilic esophagitis
C0346647,Malignant neoplasm of pancreas
C0374997,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site
C0524620,Metabolic Syndrome X
C0525045,Mood Disorders
C0596263,Carcinogenesis
C0677886,Epithelial ovarian cancer
C0678222,Breast Carcinoma
C0678356,alcohol effect
C0686619,Secondary malignant neoplasm of lymph node
C0699790,Colon Carcinoma
C0699791,Stomach Carcinoma
C0699885,Carcinoma of bladder
C0700095,Central neuroblastoma
C0747845,early pregnancy
C0848558,Hypospadias
C0851578,Sleep Disorders
C0936016,Testicular Feminization
C0949664,Tauopathies
C1153706,Endometrial adenocarcinoma
C1168401,Squamous cell carcinoma of the head and neck
C1262020,Diffuse alveolar damage
C1269955,Tumor Cell Invasion
C1275122,Familial multiple trichoepitheliomata
C1292753,Primary Effusion Lymphoma
C1306759,Eosinophilic disorder
C1319315,Adenocarcinoma of large intestine
C1328504,Hormone refractory prostate cancer
C1458155,Mammary Neoplasms
C1621958,Glioblastoma Multiforme
C1691215,Penile hypospadias
C1841972,Glucocorticoid Receptor Deficiency
C1849699,Progesterone Resistance
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1
C2239176,Liver carcinoma
C2936719,Mechanical Allodynia
C2986665,Early-Stage Breast Carcinoma
C3539878,Triple Negative Breast Neoplasms
C3714636,Pneumonitis
C3854222,Human immunodeficiency virus (HIV) II infection category B1
C4048329,Immunosuppression
C4086165,Childhood Neuroblastoma
C4721610,"Carcinoma, Ovarian Epithelial"
C4721773,Postoperative cognitive dysfunction
C4722518,Triple-Negative Breast Carcinoma
C4733092,estrogen receptor-negative breast cancer
C0002893,Refractory anemias
C0003706,Arachnodactyly
C0003850,Arteriosclerosis
C0003873,Rheumatoid Arthritis
C0004153,Atherosclerosis
C0005890,Body Height
C0009324,Ulcerative Colitis
C0009918,Contracture of joint
C0010278,Craniosynostosis
C0014067,Occipital Encephalocele
C0023473,"Myeloid Leukemia, Chronic"
C0026636,Mouth Diseases
C0027794,Neural Tube Defects
C0029422,Osteochondrodysplasias
C0039093,Congenital abnormal Synostosis
C0162635,Angelman Syndrome
C0221356,Brachycephaly
C0279626,Squamous cell carcinoma of esophagus
C0376634,Craniofacial Abnormalities
C0410528,Skeletal dysplasia
C0728895,Absent finger
C2930865,Ramer Ladda syndrome
C3280729,RADIOHUMERAL FUSIONS WITH OTHER SKELETAL AND CRANIOFACIAL ANOMALIES
C3714756,Intellectual Disability
C3887496,Oligodactyly
C4021790,Abnormality of the skeletal system
C0013295,Duodenal Ulcer
C0016788,Fucosidase Deficiency Disease
C0026697,Mucolipidoses
C1527336,Sjogren's Syndrome
C0008479,Chondrosarcoma
C0019348,Herpes Simplex Infections
C1956346,Coronary Artery Disease
C0006091,Brachial plexus lesion
C0006118,Brain Neoplasms
C0007102,Malignant tumor of colon
C0007103,Malignant neoplasm of endometrium
C0009402,Colorectal Carcinoma
C0014170,Endometrial Neoplasms
C0018790,Cardiac Arrest
C0020538,Hypertensive disease
C0021704,Intelligence
C0024121,Lung Neoplasms
C0027051,Myocardial Infarction
C0027809,Neurilemmoma
C0027832,Neurofibromatosis 2
C0027858,Neuroma
C0032584,polyps
C0040420,Tonometry
C0085109,Corneal Neovascularization
C0086692,Benign Neoplasm
C0149925,Small cell carcinoma of lung
C0206664,Teratocarcinoma
C0206754,Neuroendocrine Tumors
C0242379,Malignant neoplasm of lung
C0271066,Choroidal retinal neovascularization
C0339303,Corneal graft rejection
