latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Abelmoschi Corolla,,황촉규화,黃蜀葵花,黄蜀葵花,Huangshukuihua,,
Abri Herba,,계골초,鷄骨草,鸡骨草,Jigucao,,
Abutili Semen,,경마자,苘麻子,苘麻子,Qingmazi,,
Acanthopanacis Cortex,Acanthopanax Root Bark,오가피,五加皮,五加皮,Wujiapi,,
Acanthopanacis Senticosi Radix Et Rhizoma,,자오가,刺五加,刺五加,Ciwujia,シゴカ,刺五加
Achilleae Herba,,시초,蓍草,蓍草,Shicao,,
Achyranthis Radix,Achyranthes Root,우슬,牛膝,牛膝,Niuxi,ゴシツ,牛膝
Aconiti Ciliare Tuber Preparata,,초오제,草烏製,制草乌,Zhicaowu,,
Aconiti Koreani Tuber,,백부자,白附子,白附子 关白附,Baifuzi,,
Aconiti Kusnezoffii Tuber,Korean Aconite Root,초오,草烏,草乌,Caowu,,
Aconiti Lateralis Radix Preparata,Prepared Aconite,부자,附子,附子,Fuzi,ブシ,附子
Aconiti Radix Cocta,,제천오,制川烏,制川乌,Zhichuanwu,,
Aconiti Tuber,Aconite,천오,川烏,川乌,Chuanwu,,
Acori Calami Rhizoma,,장창포,藏菖蒲,藏菖蒲,Zangchangpu,,
Acori Graminei Rhizoma,,석창포,石菖蒲,石菖蒲,Shichangpu,セキショウコン,石菖根
Actinidiae Fructus,,목천료,木天蓼,,,,
Adenophorae Radix,,사삼,沙參,南沙参,Nanshashen,シャジン,沙参
Aesculi Semen,,사라자,娑羅子,娑罗子,Suoluozi,,
Agastachis Herba,,곽향,藿香,藿香,,,
Agrimoniae Herba,,용아초,龍牙草,仙鹤草,Xianhecao,,
Ailanthi Radicis Cortex,,저백피,樗白皮,椿皮,Chunpi,,
Ajugae Herba,,근골초,筋骨草,筋骨草,Jingucao,,
Akebiae Caulis,Akebia Stem,목통,木通,木通,Mutong,モクツウ,木通
Akebiae Fructus,,예지자,預知子,预知子,Yuzhizi,,
Albiziae Flos,,합환화,合歡花,合欢花,Hehuanhua,,
Albizziae Cortex,,합환피,合歡皮,合欢皮,Hehuanpi,,
Alismatis Rhizoma,Alisma Rhizome,택사,澤瀉,泽泻,Zexie,タクシャ,沢瀉
Allii Bulbus,Garlic,대산,大蒜,大蒜,Dasuan,,
Allii Fistulosi Bulbus,"Ciboule Root, Fistular onion stalk",총백,葱白,,,,
Allii Macrostemi Bulbus,,해백,薤白,薤白,Xiebai,ガイハク,薤白
Allii Tuberosi Semen,,구자,韮子,韭菜子,Jiucaizi,,
Aloe,Aloe,노회,蘆薈,芦荟,Luhui,アロエ,
Alpiniae Japonica Rhizoma,,산강,山薑,山姜,,,
Alpiniae Katsumadai Semen,Alpina Katsumadai Seed,초두구,草豆蔲,草豆蔻,Caodoukou,ソウズク,"草豆䓻, 草豆蔲"
